エルコンドルパサー
ディープインパクト
ナリタブライアン
シンボリルドルフ
アグネスタキオン
オグリキャップ
オルフェーヴル
キタサンブラック
キングカメハメハ
クロフネ
タイキシャトル
タマモクロス
テイエムオペラオー
トウカイテイオー
モーリス
ロードカナロア
グラスワンダー
アーモンドアイ
ジェンティルドンナ
ブエナビスタ
メジロマックイーン
サイレンススズカ
サクラバクシンオー
サクラローレル
スペシャルウィーク
フジキセキ
マヤノトップガン
ミホノブルボン
ウオッカ
エアグルーヴ
コントレイル
ダイワスカーレット
デアリングタクト
アドマイヤベガ
グランアレグリア
ゴールドシップ
シンボリクリスエス
ジャスタウェイ
セイウンスカイ
ドゥラメンテ
ヒシアマゾン
ビワハヤヒデ
アイネスフウジン
アグネスデジタル
アドマイヤムーン
イナリワン
ヴィクトワールピサ
エイシンプレストン
エピファネイア
カツラギエース
クロノジェネシス
サクラスターオー
サッカーボーイ
シーキングザパール
ジャングルポケット
スーパークリーク
ゼンノロブロイ
タップダンスシチー
タニノギムレット
ダイワメジャー
ダンスインザダーク
ナリタトップロード
ニッポーテイオー
ニホンピロウイナー
ノースフライト
ハーツクライ
ヒシミラクル
ミスターシービー
ミホシンザン
メイショウサムソン
メジロブライト
リスグラシュー
サトノクラウン
ナカヤマフェスタ
アドマイヤマーズ
エイシンフラッシュ
キズナ
サトノダイヤモンド
ジェニュイン
ディープスカイ
ネオユニヴァース
フィエールマン
マンハッタンカフェ
ラブリーデイ
ルーラーシップ
レイデオロ
アグネスワールド
アーネストリー
インディチャンプ
ウイニングチケット
ウインブライト
エアジハード
エイシンヒカリ
カネヒキリ
コパノリッキー
サクラチヨノオー
サクラユタカオー
シュヴァルグラン
ショウナンパンドラ
シンコウラブリイ
スイープトウショウ
ストレイトガール
スマートファルコン
スワーヴリチャード
ダイイチルビー
ダイタクヘリオス
ダイナガリバー
ディープブリランテ
デュランダル
トウケイニセイ
トランセンド
トロットサンダー
トロットスター
ドリームジャーニー
ニシノフラワー
ハクタイセイ
バブルガムフェロー
ヒルノダムール
ビゼンニシキ
ファインニードル
フラワーパーク
ブラックホーク
ホッコータルマエ
マーベラスサンデー
メイショウドトウ
メジロパーマー
メジロライアン
メリーナイス
ヤエノムテキ
ヤマニンゼファー
ライスシャワー
レッドファルクス
カレンチャン
ダンスインザムード
アドマイヤコジーン
アドマイヤドン
アブクマポーロ
アルアイン
イングランディーレ
ヴァーミリアン
エスポワールシチー
カンパニー
キンシャサノキセキ
グローリーヴェイズ
ゴールドアリュール
ゴールドドリーム
サクラチトセオー
ザッツザプレンティ
シルクジャスティス
スズパレード
スピルバーグ
タイキブリザード
タヤスツヨシ
ダイナコスモス
ダノンプレミアム
ダンスパートナー
ダンツシアトル
テイエムオーシャン
ナリタタイシン
バンブービギン
バンブーメモリー
ビリーヴ
フェノーメノ
フサイチコンコルド
ブラストワンピース
ホクトベガ
マカヒキ
マーベラスクラウン
メジロラモーヌ
ローズキングダム
ワグネリアン
シーザリオ
ファレノプシス
アドマイヤグルーヴ
サートゥルナーリア
トゥザヴィクトリー
ベガ
メジロドーベル
ラッキーライラック
レッドディザイア
アグネスフライト
アパパネ
イスラボニータ
イーグルカフェ
ウイングアロー
ヴィブロス
エアシャカール
エポカドーロ
オウケンブルースリ
カミノクレッセ
キセキ
キョウエイマーチ
クリソベリル
コスモバルク
ゴールドアクター
サニーブライアン
サリオス
ショウナンカンプ
シンハライト
スクリーンヒーロー
スティルインラブ
